,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
59,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,60,Keq_60,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,6.06,0.25,,0.00413,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000359;NADPH=0.0000126,no,rxn_24
60,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,61,Keq_61,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,6.43,0.25,,0.00673,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000357;NADPH=0.000023,no,rxn_24
61,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,62,Keq_62,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,6.88,0.25,,0.0183,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000341;NADPH=0.0000463,no,rxn_24
62,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,63,Keq_63,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,7.38,0.25,,0.0459,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.000326;NADPH=0.0000738,no,rxn_24
63,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,64,Keq_64,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,7.87,0.25,,0.155,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000277;NADPH=0.000118,no,rxn_24
64,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,65,Keq_65,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,8.19,0.25,,0.357,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000231;NADPH=0.000154,no,rxn_24
65,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,66,Keq_66,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,5.99,0.25,,0.00449,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000352;NADPH=0.0000116,no,rxn_24
66,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,67,Keq_67,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,6.37,0.25,,0.00973,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000345;NADPH=0.0000261,no,rxn_24
67,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,68,Keq_68,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,6.82,0.25,,0.0236,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000347;NADPH=0.0000474,no,rxn_24
68,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,69,Keq_69,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,7.31,0.25,,0.0656,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.000322;NADPH=0.0000806,no,rxn_24
69,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,70,Keq_70,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,7.8,0.25,,0.188,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000277;NADPH=0.000122,no,rxn_24
70,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,71,Keq_71,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,8.11,0.25,,0.381,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000243;NADPH=0.000153,no,rxn_24
71,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,72,Keq_72,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,5.92,0.25,,0.00636,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000345;NADPH=0.0000153,no,rxn_24
72,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,73,Keq_73,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,6.3,0.25,,0.0132,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000342;NADPH=0.0000309,no,rxn_24
73,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,74,Keq_74,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,6.75,0.25,,0.0353,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000333;NADPH=0.0000579,no,rxn_24
74,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,75,Keq_75,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,7.25,0.25,,0.0967,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.000302;NADPH=0.0000978,no,rxn_24
75,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,76,Keq_76,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,7.72,0.25,,0.292,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000251;NADPH=0.000145,no,rxn_24
76,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,77,Keq_77,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,8.02,0.25,,0.551,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000223;NADPH=0.000175,no,rxn_24
77,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,78,Keq_78,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",308.15,5.87,0.25,,0.00938,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000334;NADPH=0.0000166,no,rxn_24
78,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,79,Keq_79,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",308.15,6.25,0.25,,0.0208,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000329;NADPH=0.0000336,no,rxn_24
79,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,80,Keq_80,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",308.15,6.7,0.25,,0.0558,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000307;NADPH=0.000067,no,rxn_24
80,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,81,Keq_81,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",308.15,7.19,0.25,,0.144,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.00027;NADPH=0.000113,no,rxn_24
81,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,82,Keq_82,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",308.15,7.66,0.25,,0.477,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000216;NADPH=0.00017,no,rxn_24
82,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,83,Keq_83,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",308.15,7.96,0.25,,0.882,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000186;NADPH=0.000206,no,rxn_24
83,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,84,Keq_84,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",313.15,5.85,0.25,,0.0103,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000326;NADPH=0.0000144,no,rxn_24
84,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,85,Keq_85,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",313.15,6.23,0.25,,0.0233,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000328;NADPH=0.0000299,no,rxn_24
85,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,86,Keq_86,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",313.15,6.69,0.25,,0.0646,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000293;NADPH=0.0000646,no,rxn_24
86,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,87,Keq_87,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",313.15,7.18,0.25,,0.191,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.000258;NADPH=0.000119,no,rxn_24
87,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,88,Keq_88,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",313.15,7.65,0.25,,0.579,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000205;NADPH=0.000179,no,rxn_24
88,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,89,Keq_89,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",313.15,7.93,0.25,,1.08,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000172;NADPH=0.00021,no,rxn_24
89,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,90,Keq_90,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,5.88,0.25,,0.00145,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000347;NADPH=0.0000117,no,rxn_24
90,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,91,Keq_91,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,6.32,0.25,,0.0037,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000346;NADPH=0.0000183,no,rxn_24
91,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,92,Keq_92,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,6.8,0.25,,0.0111,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000322;NADPH=0.0000339,no,rxn_24
92,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,93,Keq_93,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,7.25,0.25,,0.0277,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.000304;NADPH=0.0000523,no,rxn_24
93,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,94,Keq_94,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,7.62,0.25,,0.0706,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000274;NADPH=0.0000789,no,rxn_24
94,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,95,Keq_95,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",278.15,7.82,0.25,,0.126,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000244;NADPH=0.0000972,no,rxn_24
95,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,96,Keq_96,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,5.79,0.25,,0.00239,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000337;NADPH=0.0000128,no,rxn_24
96,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,97,Keq_97,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,6.25,0.25,,0.00651,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.00033;NADPH=0.0000242,no,rxn_24
97,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,98,Keq_98,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,6.73,0.25,,0.0169,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000316;NADPH=0.00004,no,rxn_24
98,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,99,Keq_99,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,7.18,0.25,,0.0428,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.000294;NADPH=0.0000611,no,rxn_24
99,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,100,Keq_100,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,7.55,0.25,,0.104,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000262;NADPH=0.0000916,no,rxn_24
100,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,101,Keq_101,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",288.15,7.74,0.25,,0.15,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.00025;NADPH=0.000105,no,rxn_24
101,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,102,Keq_102,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,5.71,0.25,,0.00344,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.216;(K)1(H2PO4)1=0.0225;(K)2(HPO4)1=0.0025;NADP=0.000335;NADPH=0.0000141,no,rxn_24
102,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,103,Keq_103,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,6.19,0.25,,0.00925,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.209;(K)1(H2PO4)1=0.01875;(K)2(HPO4)1=0.00625;NADP=0.000318;NADPH=0.0000262,no,rxn_24
103,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,104,Keq_104,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,6.67,0.25,,0.026,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.196;(K)1(H2PO4)1=0.0125;(K)2(HPO4)1=0.0125;NADP=0.000302;NADPH=0.0000489,no,rxn_24
104,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,105,Keq_105,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,7.11,0.25,,0.0701,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.184;(K)1(H2PO4)1=0.00625;(K)2(HPO4)1=0.01875;NADP=0.00027;NADPH=0.0000773,no,rxn_24
105,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,106,Keq_106,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,7.49,0.25,,0.162,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.176;(K)1(H2PO4)1=0.0025;(K)2(HPO4)1=0.0225;NADP=0.000236;NADPH=0.00011,no,rxn_24
106,alcohol dehydrogenase,1.1.1.2,spectrophotometry coupled with enzymatic assay,A,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,107,Keq_107,"{'CHB_16474': 1, 'CHB_17824': -1, 'CHB_18009': -1, 'CHB_15347': 1}",298.15,7.68,0.25,,0.236,,phosphate,03KIN,mol/L;IS=0.25;(K)1(Cl)1=0.174;(K)1(H2PO4)1=0.00125;(K)2(HPO4)1=0.02375;NADP=0.000218;NADPH=0.000127,no,rxn_24
